file_path,classification,reason
".dockerignore",PRIVATE,"Hosted product, internal docs, backend, dashboard, or private runtime."
".env.example",PRIVATE,"Hosted product, internal docs, backend, dashboard, or private runtime."
".env.prod.example",PRIVATE,"Hosted product, internal docs, backend, dashboard, or private runtime."
".gitattributes",PRIVATE,"Hosted product, internal docs, backend, dashboard, or private runtime."
".gitignore",PRIVATE,"Hosted product, internal docs, backend, dashboard, or private runtime."
"AGENTS.md",PRIVATE,"Hosted product, internal docs, backend, dashboard, or private runtime."
"APPWRITE_SETUP_VERIFICATION.md",PRIVATE,"Hosted product, internal docs, backend, dashboard, or private runtime."
"backend/.dockerignore",PRIVATE,"Hosted product, internal docs, backend, dashboard, or private runtime."
"backend/.env.example",PRIVATE,"Hosted product, internal docs, backend, dashboard, or private runtime."
"backend/.gitattributes",PRIVATE,"Hosted product, internal docs, backend, dashboard, or private runtime."
"backend/__tests__/server.test.js",PRIVATE,"Hosted product, internal docs, backend, dashboard, or private runtime."
"backend/config/access.js",PRIVATE,"Hosted product, internal docs, backend, dashboard, or private runtime."
"backend/config/appwrite.js",PRIVATE,"Hosted product, internal docs, backend, dashboard, or private runtime."
"backend/Dockerfile",PRIVATE,"Hosted product, internal docs, backend, dashboard, or private runtime."
"scripts/appwrite-setup.js",PRIVATE,"Hosted product, internal docs, backend, dashboard, or private runtime."
"backend/jest.config.js",PRIVATE,"Hosted product, internal docs, backend, dashboard, or private runtime."
"backend/middleware/auth.js",PRIVATE,"Hosted product, internal docs, backend, dashboard, or private runtime."
"backend/package.json",PRIVATE,"Hosted product, internal docs, backend, dashboard, or private runtime."
"backend/package-lock.json",PRIVATE,"Hosted product, internal docs, backend, dashboard, or private runtime."
"backend/routes/apiKeys.js",PRIVATE,"Hosted product, internal docs, backend, dashboard, or private runtime."
"backend/routes/auth.js",PRIVATE,"Hosted product, internal docs, backend, dashboard, or private runtime."
"backend/routes/dashboard.js",PRIVATE,"Hosted product, internal docs, backend, dashboard, or private runtime."
"backend/routes/usage.js",PRIVATE,"Hosted product, internal docs, backend, dashboard, or private runtime."
"backend/server.js",PRIVATE,"Hosted product, internal docs, backend, dashboard, or private runtime."
"dashboard/.dockerignore",PRIVATE,"Hosted product, internal docs, backend, dashboard, or private runtime."
"dashboard/.env.example",PRIVATE,"Hosted product, internal docs, backend, dashboard, or private runtime."
"dashboard/.gitattributes",PRIVATE,"Hosted product, internal docs, backend, dashboard, or private runtime."
"dashboard/.gitignore",PRIVATE,"Hosted product, internal docs, backend, dashboard, or private runtime."
"dashboard/Dockerfile",PRIVATE,"Hosted product, internal docs, backend, dashboard, or private runtime."
"dashboard/src/lib/appwrite.js",PRIVATE,"Hosted product, internal docs, backend, dashboard, or private runtime."
"dashboard/package.json",PRIVATE,"Hosted product, internal docs, backend, dashboard, or private runtime."
"dashboard/package-lock.json",PRIVATE,"Hosted product, internal docs, backend, dashboard, or private runtime."
"dashboard/postcss.config.js",PRIVATE,"Hosted product, internal docs, backend, dashboard, or private runtime."
"dashboard/public/docs/ADVANCED_FEATURES.md",DELETE,"Legacy, duplicate, generated, or replaced during the public/private split."
"dashboard/public/docs/AGENT_INTEGRATIONS.md",DELETE,"Legacy, duplicate, generated, or replaced during the public/private split."
"dashboard/public/docs/AGENT_LOOP.md",DELETE,"Legacy, duplicate, generated, or replaced during the public/private split."
"dashboard/public/docs/API_DESIGN.md",DELETE,"Legacy, duplicate, generated, or replaced during the public/private split."
"dashboard/public/docs/ARCHITECTURE.md",DELETE,"Legacy, duplicate, generated, or replaced during the public/private split."
"dashboard/public/docs/assets/velocity-brain-logo.svg",DELETE,"Legacy, duplicate, generated, or replaced during the public/private split."
"dashboard/public/docs/CLIENT_INTEGRATIONS.md",DELETE,"Legacy, duplicate, generated, or replaced during the public/private split."
"dashboard/public/docs/DB_SCHEMA.md",DELETE,"Legacy, duplicate, generated, or replaced during the public/private split."
"dashboard/public/docs/ENHANCED_FEATURES.md",DELETE,"Legacy, duplicate, generated, or replaced during the public/private split."
"dashboard/public/docs/FOLDER_STRUCTURE.md",DELETE,"Legacy, duplicate, generated, or replaced during the public/private split."
"dashboard/public/docs/NEXT_LEVEL.md",DELETE,"Legacy, duplicate, generated, or replaced during the public/private split."
"dashboard/public/docs/PRODUCTION_DEPLOYMENT.md",DELETE,"Legacy, duplicate, generated, or replaced during the public/private split."
"dashboard/public/docs/SKILL_SYSTEM.md",DELETE,"Legacy, duplicate, generated, or replaced during the public/private split."
"dashboard/public/docs/TOKEN_EFFICIENCY.md",DELETE,"Legacy, duplicate, generated, or replaced during the public/private split."
"dashboard/public/docs/WORKFLOWS.md",DELETE,"Legacy, duplicate, generated, or replaced during the public/private split."
"dashboard/public/evidence/01-doctor.png",PRIVATE,"Hosted product, internal docs, backend, dashboard, or private runtime."
"dashboard/public/evidence/02-query.png",PRIVATE,"Hosted product, internal docs, backend, dashboard, or private runtime."
"dashboard/public/evidence/03-smoke.png",PRIVATE,"Hosted product, internal docs, backend, dashboard, or private runtime."
"dashboard/public/evidence/04-codex-mcp-list.png",PRIVATE,"Hosted product, internal docs, backend, dashboard, or private runtime."
"dashboard/public/hero.png",PRIVATE,"Hosted product, internal docs, backend, dashboard, or private runtime."
"dashboard/public/index.html",PRIVATE,"Hosted product, internal docs, backend, dashboard, or private runtime."
"dashboard/public/loader.gif",PRIVATE,"Hosted product, internal docs, backend, dashboard, or private runtime."
"dashboard/public/loader-clean.gif",PRIVATE,"Hosted product, internal docs, backend, dashboard, or private runtime."
"dashboard/public/logo.png",PRIVATE,"Hosted product, internal docs, backend, dashboard, or private runtime."
"dashboard/public/New Text Document.txt",DELETE,"Legacy, duplicate, generated, or replaced during the public/private split."
"dashboard/README.md",PRIVATE,"Hosted product, internal docs, backend, dashboard, or private runtime."
"dashboard/src/App.css",PRIVATE,"Hosted product, internal docs, backend, dashboard, or private runtime."
"dashboard/src/App.js",PRIVATE,"Hosted product, internal docs, backend, dashboard, or private runtime."
"dashboard/src/components/BlobLoader.js",PRIVATE,"Hosted product, internal docs, backend, dashboard, or private runtime."
"dashboard/src/components/Icons.js",PRIVATE,"Hosted product, internal docs, backend, dashboard, or private runtime."
"dashboard/src/components/Layout.js",PRIVATE,"Hosted product, internal docs, backend, dashboard, or private runtime."
"dashboard/src/components/Logo.js",PRIVATE,"Hosted product, internal docs, backend, dashboard, or private runtime."
"dashboard/src/components/ui/glsl-hills.js",PRIVATE,"Hosted product, internal docs, backend, dashboard, or private runtime."
"dashboard/src/contexts/AuthContext.js",PRIVATE,"Hosted product, internal docs, backend, dashboard, or private runtime."
"dashboard/src/contexts/ThemeContext.js",PRIVATE,"Hosted product, internal docs, backend, dashboard, or private runtime."
"dashboard/src/index.css",PRIVATE,"Hosted product, internal docs, backend, dashboard, or private runtime."
"dashboard/src/index.js",PRIVATE,"Hosted product, internal docs, backend, dashboard, or private runtime."
"dashboard/src/lib/agentRuntime.js",PRIVATE,"Hosted product, internal docs, backend, dashboard, or private runtime."
"scripts/sync-appwrite-users.js",PRIVATE,"Hosted product, internal docs, backend, dashboard, or private runtime."
"dashboard/src/lib/network.js",PRIVATE,"Hosted product, internal docs, backend, dashboard, or private runtime."
"dashboard/src/pages/Agents.js",PRIVATE,"Hosted product, internal docs, backend, dashboard, or private runtime."
"dashboard/src/pages/ApiKeys.js",PRIVATE,"Hosted product, internal docs, backend, dashboard, or private runtime."
"dashboard/src/pages/Dashboard.js",PRIVATE,"Hosted product, internal docs, backend, dashboard, or private runtime."
"dashboard/src/pages/Documentation.js",PRIVATE,"Hosted product, internal docs, backend, dashboard, or private runtime."
"dashboard/src/pages/Landing.js",PRIVATE,"Hosted product, internal docs, backend, dashboard, or private runtime."
"dashboard/src/pages/Login.js",PRIVATE,"Hosted product, internal docs, backend, dashboard, or private runtime."
"dashboard/src/pages/OAuthCallback.js",PRIVATE,"Hosted product, internal docs, backend, dashboard, or private runtime."
"dashboard/src/pages/Privacy.js",PRIVATE,"Hosted product, internal docs, backend, dashboard, or private runtime."
"dashboard/src/pages/Settings.js",PRIVATE,"Hosted product, internal docs, backend, dashboard, or private runtime."
"dashboard/src/pages/Terms.js",PRIVATE,"Hosted product, internal docs, backend, dashboard, or private runtime."
"dashboard/src/pages/Usage.js",PRIVATE,"Hosted product, internal docs, backend, dashboard, or private runtime."
"dashboard/tailwind.config.js",PRIVATE,"Hosted product, internal docs, backend, dashboard, or private runtime."
"dashboard/tmp-start.err.log",DELETE,"Legacy, duplicate, generated, or replaced during the public/private split."
"dashboard/tmp-start.log",DELETE,"Legacy, duplicate, generated, or replaced during the public/private split."
"dashboard/vercel.json",PRIVATE,"Hosted product, internal docs, backend, dashboard, or private runtime."
"data/response_style_benchmark.json",DELETE,"Legacy, duplicate, generated, or replaced during the public/private split."
"data/retrieval_benchmark.json",DELETE,"Legacy, duplicate, generated, or replaced during the public/private split."
